MACD|519066|汇添富蓝筹稳健	混合型|4, 19, 13|13.47087
MA|040008|华安策略优选混合	混合型|7, 5, 20|17.60528
MACD|040008|华安策略优选混合	混合型|1, 38, 7|13.20098
MA|519690|交银稳健配置混合A	混合型|1, 5, 27|3.55505
MACD|519690|交银稳健配置混合A	混合型|2, 17, 11|3.08913
MA|001632|天弘中证食品饮料指数C	股票指数|19, 6, 91|22.75947
MACD|001632|天弘中证食品饮料指数C	股票指数|4, 11, 4|19.24065
MA|260116|景顺长城核心竞争力混合A	混合型|8, 7, 62|26.6666
MACD|260116|景顺长城核心竞争力混合A	混合型|4, 13, 4|24.5517
MA|165312|建信央视50	股票指数|1, 7, 73|11.34574
MACD|165312|建信央视50	股票指数|8, 6, 5|7.57796
MA|001287|安信优势增长混合A	混合型|5, 5, 10|23.77526
MACD|001287|安信优势增长混合A	混合型|1, 26, 7|19.45345
MA|260110|景顺长城精选蓝筹混合	混合型|5, 5, 29|9.22322
MACD|260110|景顺长城精选蓝筹混合	混合型|2, 4, 12|9.58932
MA|169101|东方红睿丰混合	混合型|20, 28, 100|9.90889
MACD|169101|东方红睿丰混合	混合型|20, 6, 13|18.97201
MA|001281|长安鑫利优选混合A	混合型|14, 6, 91|24.27128
MACD|001281|长安鑫利优选混合A	混合型|20, 11, 14|17.60129
MA|002072|长安鑫利优选混合C	混合型|20, 10, 91|24.219
MACD|002072|长安鑫利优选混合C	混合型|20, 11, 14|17.55579
MA|110011|易方达中小盘混合	混合型|19, 6, 22|23.66928
MACD|110011|易方达中小盘混合	混合型|2, 8, 25|22.7685
MA|519772|交银新生活力灵活配置混合	混合型|5, 57, 31|6.7283
MACD|519772|交银新生活力灵活配置混合	混合型|3, 15, 27|19.28457
MA|001170|泰达宏利复兴混合	混合型|2, 54, 74|12.54725
MACD|001170|泰达宏利复兴混合	混合型|4, 12, 18|24.70781
MA|660010|农银策略精选混合	混合型|19, 6, 22|21.15983
MACD|660010|农银策略精选混合	混合型|8, 20, 10|11.73932
MA|519068|汇添富成长焦点混合	混合型|19, 6, 22|23.82055
MACD|519068|汇添富成长焦点混合	混合型|3, 17, 15|20.54364
MA|360007|光大保德信优势配置混合	混合型|2, 31, 25|20.56427
MACD|360007|光大保德信优势配置混合	混合型|18, 17, 7|22.79146
MA|217027|招商央视财经50指数A	股票指数|7, 7, 15|21.20363
MACD|217027|招商央视财经50指数A	股票指数|4, 10, 6|20.10648
MA|020005|国泰金马稳健	混合型|5, 5, 13|14.42656
MACD|020005|国泰金马稳健	混合型|2, 8, 30|3.78229
MA|540012|汇丰晋信恒生龙头指数A	股票指数|5, 5, 10|17.80648
MACD|540012|汇丰晋信恒生龙头指数A	股票指数|17, 11, 11|25.01403
MA|530015|建信深证60联接	联接基金|18, 35, 23|13.79416
MACD|530015|建信深证60联接	联接基金|4, 8, 15|24.13326
MA|001044|嘉实新消费股票	股票型|9, 7, 12|18.82961
MACD|001044|嘉实新消费股票	股票型|3, 9, 6|18.26466
MA|519606|国泰金鑫	股票型|13, 10, 89|2.93671
MACD|519606|国泰金鑫	股票型|13, 16, 14|9.7732
MA|002851|南方品质混合	混合型|17, 14, 45|25.0769
MACD|002851|南方品质混合	混合型|20, 12, 30|20.60417
MA|519746|交银丰享收益债券A	债券型|16, 32, 12|0.0
MACD|519746|交银丰享收益债券A	债券型|4, 6, 19|1.48818
MA|241001|华宝海外中国成长混合	QDII|19, 5, 79|9.99438
MACD|241001|华宝海外中国成长混合	QDII|20, 4, 7|7.57824
MA|000173|汇添富美丽30混合	混合型|1, 28, 10|13.82716
MACD|000173|汇添富美丽30混合	混合型|11, 14, 5|22.37067
MA|100022|富国天瑞强势	混合型|13, 12, 59|9.76229
MACD|100022|富国天瑞强势	混合型|6, 10, 18|14.14801
MA|002853|华富元鑫灵活配置混合A	混合型|7, 7, 79|2.5409
MACD|002853|华富元鑫灵活配置混合A	混合型|2, 8, 22|2.43367
MA|020026|国泰成长优选混合	混合型|1, 24, 98|2.06215
MACD|020026|国泰成长优选混合	混合型|14, 17, 13|9.37435
MA|001703|银华沪港深增长股票	股票型|5, 5, 84|21.43973
MACD|001703|银华沪港深增长股票	股票型|9, 12, 24|20.21688
MA|001712|东方红优势精选混合	混合型|2, 31, 60|9.81494
MACD|001712|东方红优势精选混合	混合型|2, 18, 12|17.42009
MA|540009|汇丰晋信消费红利	股票型|20, 5, 82|9.18962
MACD|540009|汇丰晋信消费红利	股票型|4, 28, 5|7.49183
MA|519056|海富通内需热点混合	混合型|19, 5, 28|25.97743
MACD|519056|海富通内需热点混合	混合型|6, 20, 27|24.92077
MA|164906|交银中证海外中国互联网指数	QDII-指数|5, 5, 31|11.29221
MACD|164906|交银中证海外中国互联网指数	QDII-指数|4, 7, 12|10.64234
MA|160127|南方新兴消费分级	股票型|5, 5, 39|17.7383
MACD|160127|南方新兴消费分级	股票型|19, 21, 28|15.63403
MA|001179|德邦大健康灵活配置混合	混合型|1, 24, 76|12.93788
MACD|001179|德邦大健康灵活配置混合	混合型|2, 25, 6|13.56331
MA|260103|景顺长城动力平衡	混合型|19, 6, 22|22.95207
MACD|260103|景顺长城动力平衡	混合型|5, 7, 27|22.95207
MA|001371|富国沪港深价值混合	混合型|2, 38, 12|9.1751
MACD|001371|富国沪港深价值混合	混合型|1, 11, 5|8.48011
MA|001583|安信新常态股票	股票型|7, 5, 22|16.46919
