
MACD|399008|中小300|15, 28, 6|4.17058
MA|399009|深证200|4, 14, 45|0.08615
MACD|399009|深证200|9, 21, 6|2.5679
MA|399010|深证700|4, 8, 43|4.80871
MACD|399010|深证700|14, 30, 11|0.0
MA|399011|深证1000|4, 18, 37|1.64847
MACD|399011|深证1000|15, 26, 10|6.30782
MA|399012|创业300|4, 12, 27|0.07077
MACD|399012|创业300|15, 29, 8|-3.4689
MA|399013|深市精选|2, 18, 27|2.78964
MACD|399013|深市精选|9, 25, 6|7.29704
MA|399015|中小创新|5, 7, 46|3.72382
MACD|399015|中小创新|11, 21, 6|0.79099
MA|399016|深证创新|5, 15, 41|8.56922
MACD|399016|深证创新|14, 30, 10|-4.25027
MA|399017|SME创新|2, 6, 20|-0.14092
MACD|399017|SME创新|9, 24, 6|2.73145
MA|399018|创业创新|4, 9, 20|0.0
MACD|399018|创业创新|15, 24, 11|0.0
MA|399100|新指数|2, 19, 20|2.18547
MACD|399100|新指数|14, 24, 9|5.12664
MA|399101|中小板综|5, 5, 46|3.58904
MACD|399101|中小板综|15, 25, 12|1.40686
MA|399102|创业板综|5, 9, 29|0.0
MACD|399102|创业板综|13, 30, 8|-3.28502
MA|399103|乐富指数|5, 5, 28|5.22897
MACD|399103|乐富指数|15, 25, 10|6.28425
MA|399106|深证综指|2, 9, 31|1.17366
MACD|399106|深证综指|9, 24, 8|3.74081
MA|399107|深证Ａ指|2, 9, 31|1.17478
MACD|399107|深证Ａ指|9, 24, 8|3.74137
MA|399108|深证Ｂ指|5, 5, 54|9.53845
MACD|399108|深证Ｂ指|13, 22, 9|5.98615
MA|399231|农林指数|3, 14, 58|5.31592
MACD|399231|农林指数|15, 30, 7|7.46542
MA|399232|采矿指数|5, 9, 44|0.29197
MACD|399232|采矿指数|15, 31, 10|0.25213
MA|399233|制造指数|5, 5, 42|6.0521
MACD|399233|制造指数|9, 24, 11|3.7001
MA|399234|水电指数|2, 5, 36|-0.30361
MACD|399234|水电指数|11, 23, 8|-1.23743
MA|399235|建筑指数|5, 6, 56|1.35454
MACD|399235|建筑指数|14, 28, 10|-7.84206
MA|399236|批零指数|5, 9, 48|-0.03059
MACD|399236|批零指数|9, 23, 8|-0.02782
MA|399237|运输指数|2, 9, 21|1.44686
MACD|399237|运输指数|15, 30, 12|-5.49396
MA|399238|餐饮指数|4, 6, 37|0.2954
MACD|399238|餐饮指数|14, 25, 8|0.0
MA|399239|IT指数|5, 9, 45|5.78768
MACD|399239|IT指数|15, 25, 12|0.0
MA|399240|金融指数|2, 9, 21|6.85854
MACD|399240|金融指数|9, 30, 6|12.88254
MA|399241|地产指数|5, 5, 51|26.19015
MACD|399241|地产指数|12, 24, 12|24.85262
MA|399242|商务指数|2, 9, 21|4.09354
MACD|399242|商务指数|9, 21, 6|2.62408
MA|399243|科研指数|4, 11, 28|22.65028
MACD|399243|科研指数|15, 31, 7|-7.98793
MA|399244|公共指数|5, 5, 28|2.72283
MACD|399244|公共指数|14, 22, 9|-1.9225
MA|399248|文化指数|3, 9, 30|4.41103
MACD|399248|文化指数|15, 25, 12|0.0
MA|399249|综企指数|2, 9, 21|-0.85169
MACD|399249|综企指数|11, 24, 7|0.0
MA|399298|深信中高|4, 18, 21|2.29562
MACD|399298|深信中高|9, 22, 6|1.49463
MA|399299|深信中低|5, 5, 28|2.76877
MACD|399299|深信中低|15, 24, 8|2.66597
MA|399300|沪深300|5, 5, 21|27.10965
MACD|399300|沪深300|14, 31, 10|26.35064
MA|399301|深信用债|2, 19, 24|2.55727
MACD|399301|深信用债|9, 24, 6|1.5308
MA|399302|深公司债|2, 16, 21|2.56587
MACD|399302|深公司债|9, 22, 6|1.76591
MA|399303|国证2000|5, 7, 51|3.89036
MACD|399303|国证2000|9, 29, 7|1.09386
MA|399306|深证ETF|5, 5, 24|20.96965
MACD|399306|深证ETF|9, 24, 8|19.08031
MA|399307|深证转债|4, 9, 20|2.22685
MACD|399307|深证转债|15, 25, 6|2.15586
MA|399310|国证50|5, 5, 28|42.35191
MACD|399310|国证50|14, 29, 6|41.98073
MA|002963|egold|3, 18, 20|2.00703
MACD|002963|egold|13, 29, 11|0.03044
MA|003321|eoil|2, 9, 32|3.20248
MACD|003321|eoil|15, 30, 10|18.47168
MA|004744|eGEI|3, 9, 56|0.31462
MACD|004744|eGEI|11, 31, 11|0.0
MA|110003|eSSE50|5, 5, 28|22.44016
MACD|110003|eSSE50|9, 22, 6|8.64163
MA|110020|HS300|5, 5, 28|12.92021
MACD|110020|HS300|14, 24, 7|0.0
MA|110031|eHSI|5, 5, 28|17.44001
MACD|110031|eHSI|15, 31, 10|11.74248
MA|161130|eNASDAQ100|5, 5, 28|11.6675
MACD|161130|eNASDAQ100|15, 24, 10|6.65961
MA|110028|anxinB|5, 5, 24|4.65936
MACD|110028|anxinB|15, 31, 12|2.72238
MA|110022|eConsumption |5, 5, 28|32.07768
MACD|110022|eConsumption |13, 30, 6|14.20697
MA|161125|SPX500|5, 5, 28|11.17264
MACD|161125|SPX500|9, 24, 6|5.88507
MA|161725|招商中证白酒指数分级	股票指数|3, 17, 20|12.66606
MACD|161725|招商中证白酒指数分级	股票指数|9, 24, 6|7.20346
MA|160222|国泰国证食品饮料行业指数分级	股票指数|5, 5, 28|29.16321
MACD|160222|国泰国证食品饮料行业指数分级	股票指数|9, 25, 9|10.29204
MA|000248|汇添富中证主要消费ETF联接	联接基金|5, 5, 28|31.82672
MACD|000248|汇添富中证主要消费ETF联接	联接基金|9, 24, 9|10.68504
MA|162605|景顺长城鼎益混合(LOF)	混合型|5, 5, 28|30.03619
MACD|162605|景顺长城鼎益混合(LOF)	混合型|15, 30, 11|8.03759
MA|260108|景顺长城新兴成长混合	混合型|5, 5, 28|18.95496
MACD|260108|景顺长城新兴成长混合	混合型|10, 22, 10|0.0
MA|001740|光大中国制造2025混合	混合型|2, 9, 46|22.36529
MACD|001740|光大中国制造2025混合	混合型|15, 24, 12|21.17808
MA|160632|鹏华酒分级	股票指数|5, 5, 28|23.81611
MACD|160632|鹏华酒分级	股票指数|9, 24, 6|10.75252
MA|000083|汇添富消费行业混合	混合型|5, 5, 28|31.11461
MACD|000083|汇添富消费行业混合	混合型|15, 25, 12|12.60671
MA|001542|国泰互联网+股票	股票型|5, 5, 28|17.50802
MACD|001542|国泰互联网+股票	股票型|15, 31, 12|10.18592
MA|000619|东方红产业升级混合	混合型|4, 9, 57|12.92338
MACD|000619|东方红产业升级混合	混合型|15, 25, 12|11.01842
MA|070032|嘉实优化红利混合	混合型|5, 5, 28|26.68715
MACD|070032|嘉实优化红利混合	混合型|13, 30, 12|12.19877
MA|180012|银华富裕主题混合	混合型|5, 5, 57|21.21962
MACD|180012|银华富裕主题混合	混合型|10, 24, 8|4.87535
MA|481012|工银深证红利联接	联接基金|5, 5, 28|28.52387
MACD|481012|工银深证红利联接	联接基金|9, 24, 6|20.15778
MA|519664|银河美丽混合A	混合型|4, 9, 41|13.87287
MACD|519664|银河美丽混合A	混合型|9, 24, 6|11.42729
MA|001112|东方红中国优势混合	混合型|5, 5, 28|23.53577
MACD|001112|东方红中国优势混合	混合型|9, 24, 8|6.71455
MA|519665|银河美丽混合C	混合型|4, 9, 41|13.73585
MACD|519665|银河美丽混合C	混合型|9, 24, 6|11.32039
MA|001387|中融新经济混合A	混合型|2, 9, 36|0.86907
MACD|001387|中融新经济混合A	混合型|15, 29, 12|0.0
MA|310388|申万菱信消费增长混合	混合型|5, 17, 33|1.94631
MACD|310388|申万菱信消费增长混合	混合型|15, 29, 12|1.15204
MA|001076|易方达改革红利混合	混合型|3, 11, 36|12.45559
MACD|001076|易方达改革红利混合	混合型|15, 30, 10|10.94844
MA|206007|鹏华消费优选混合	混合型|4, 11, 35|11.48935
MACD|206007|鹏华消费优选混合	混合型|15, 31, 12|11.34128
MA|260116|景顺长城核心竞争力混合A	混合型|5, 5, 28|27.74449
MACD|260116|景顺长城核心竞争力混合A	混合型|13, 30, 9|14.24889
MA|000462|农银主题轮动混合	混合型|3, 11, 57|13.72375
MACD|000462|农银主题轮动混合	混合型|15, 24, 12|11.32905
MA|000742|国泰新经济灵活配置混合	混合型|5, 5, 28|14.26838
MACD|000742|国泰新经济灵活配置混合	混合型|14, 24, 8|4.66296
MA|001606|农银工业4.0混合	混合型|5, 5, 28|22.71381
MACD|001606|农银工业4.0混合	混合型|13, 27, 10|8.94718
MA|550016|信诚至远C	分级杠杆|5, 5, 28|46.42819
MACD|550016|信诚至远C	分级杠杆|13, 24, 8|40.9415
MA|001208|诺安低碳经济股票	股票型|5, 5, 28|26.22243
MACD|001208|诺安低碳经济股票	股票型|9, 25, 7|10.86635
MA|519772|交银新生活力灵活配置混合	混合型|5, 5, 33|7.32574
MACD|519772|交银新生活力灵活配置混合	混合型|9, 24, 8|13.37339
MA|260110|景顺长城精选蓝筹混合	混合型|2, 9, 54|2.97532
MACD|260110|景顺长城精选蓝筹混合	混合型|15, 24, 7|-1.82216
MA|000854|鹏华养老产业	股票型|5, 11, 35|11.23595
MACD|000854|鹏华养老产业	股票型|9, 29, 6|18.5255
