87	001605	国富沪港深成长精选股票	股票型	87	20	100	100	76.75
88	161721	招商沪深300地产指数分级	股票指数	8	100	100	100	77.0
89	001047	光大国企改革股票	股票型	53	55	100	100	77.0
90	020023	国泰事件驱动策略混合	混合型	93	100	84	33	77.5
91	241001	华宝海外中国成长混合	QDII	100	100	68	42	77.5
92	164906	交银中证海外中国互联网指数	QDII-指数	100	100	73	37	77.5
93	519225	海富通集利债券	债券型	11	100	100	100	77.75
94	002085	长盛互联网+混合	混合型	12	99	100	100	77.75
95	000751	嘉实新兴产业股票	股票型	100	100	59	54	78.25
96	001179	德邦大健康灵活配置混合	混合型	100	100	63	50	78.25
97	376510	上投大盘蓝筹	股票型	100	100	54	64	79.5
98	002621	中欧消费主题股票A	股票型	70	50	100	100	80.0
99	110015	易方达行业领先混合	混合型	100	100	61	62	80.75
100	001725	汇添富高端制造股票	股票型	82	42	100	100	81.0
101	000423	前海开源事件驱动混合A	混合型	66	100	89	78	83.25
102	004642	南方房地产ETF联接A	none	34	100	100	100	83.5
103	001865	前海开源事件驱动混合C	混合型	64	100	90	80	83.5
104	000011	华夏大盘精选	混合型	90	100	83	61	83.5
105	160605	鹏华中国50	混合型	35	100	100	100	83.75
106	163805	中银策略混合	混合型	61	74	100	100	83.75
107	004643	南方房地产ETF联接C	none	36	100	100	100	84.0
108	004374	华泰保兴吉年丰混合发起A	混合型	100	37	100	100	84.25
109	001878	嘉实沪港深精选股票	股票型	100	100	45	92	84.25
110	001371	富国沪港深价值混合	混合型	100	100	94	43	84.25
111	004375	华泰保兴吉年丰混合发起C	混合型	100	38	100	100	84.5
112	501018	南方原油	QDII	41	100	100	100	85.25
113	002121	广发沪港深新起点股票	股票型	100	100	48	93	85.25
114	001236	博时丝路主题股票A	股票型	100	44	100	100	86.0
115	001518	万家瑞兴	混合型	45	100	100	100	86.25
116	070018	嘉实回报	混合型	100	92	97	58	86.75
117	000532	景顺长城优势企业混合	混合型	81	100	86	81	87.0
118	000529	广发竞争优势混合	混合型	100	93	82	74	87.25
119	003704	光大保德信事件驱动混合	混合型	54	97	100	100	87.75
120	040005	华安宏利混合	混合型	52	100	100	100	88.0
121	163412	兴全轻资产混合(LOF)	混合型	79	73	100	100	88.0
122	180013	银华领先策略混合	混合型	100	53	100	100	88.25
123	000173	汇添富美丽30混合	混合型	100	81	93	79	88.25
124	000020	景顺长城品质投资混合	混合型	100	100	81	73	88.5
125	001040	新华策略精选股票	股票型	55	100	100	100	88.75
126	519185	万家精选混合	混合型	56	100	100	100	89.0
127	519087	新华优选分红混合	混合型	57	100	100	100	89.25
128	001157	国联安睿祺灵活配置混合	混合型	58	100	100	100	89.5
129	163406	兴全合润分级混合	混合型	86	72	100	100	89.5
130	003243	上投摩根中国世纪人民币	QDII	100	100	64	94	89.5
131	100022	富国天瑞强势	混合型	100	59	100	100	89.75
132	001163	银华中国梦30股票	股票型	100	94	98	67	89.75
133	001581	华安沪港深通精选灵活配置混合	混合型	100	62	100	100	90.5
134	118001	易方达亚洲精选	QDII	100	100	96	66	90.5
135	398021	中海能源策略	混合型	100	63	100	100	90.75
136	001681	新华积极价值灵活配置混合	混合型	65	100	100	100	91.25
137	003940	银华盛世精选灵活配置混合发起式	混合型	100	100	69	96	91.25
138	217001	招商安泰混合	混合型	67	100	100	100	91.75
139	110010	易方达价值成长混合A	混合型	68	100	100	100	92.0
140	001458	广发中证全指主要消费联接A	联接基金	100	68	100	100	92.0
141	200008	长城品牌优选混合	混合型	100	100	100	68	92.0
142	002214	中海沪港深价值优选混合	混合型	100	100	72	97	92.25
143	002189	农银汇理国企改革混合	混合型	100	70	100	100	92.5
144	002976	广发中证全指主要消费联接C	联接基金	100	71	100	100	92.75
145	163810	中银价值精选	混合型	73	100	100	100	93.25
